Winery_ID,Name,Category_Type,Varietal,Alcohol_Percentage,Vintage,Price
3,2022 Sauvignon Blanc,White,Sauvignon Blanc,14.3,2022,20
3,2022 Barbera Rose,Rose,Barbera,14.5,2022,25
3,2021 Barbera,Red,Barbera,14.2,2021,40
3,2020 Malbec,Red,Malbec,14.5,2019,40
3,2019 Cabernet Sauvignon,Red,Cabernet Sauvignon,14.2,2019,50
3,2021 Petite Sirah,Red,Cabernet Sauvignon,14.9,2018,50
4,2020 Cabernet Sauvignon XXVI,Red,Cabernet Sauvignon,14.1,2020,50
4,2021 Syrah,Red,Syrah,14,2021,40
4,2020 Trutina,Red,Bordeaux-style Red Blend,13.9,2020,32
4,2021 Three Legged Red,Red,Red-table wine,13.8,2021,20
4,2022 Zags Blend,Red,Red-table wine,13.8,2022,25
4,2022 Shirley Mays Chardonnay,White,Chardonnay,13,2022,29
4,2023 Rose,Rose,Cabernet Franc,13.5,2023,22
4,2023 Sauvignon Blanc,White,Sauvignon Blanc,13.7,2023,22
5,2018 Sangiovese,Red,Sangiovese,12.4,2018,44
5,2017 Merlot,Red,Merlot,11.6,2017,44
5,2016 Cabernet Sauvignon,Red,Carbernet Sauvignon,13.3,2016,44
5,2020 Malbec,Red,Malbec,12.5,2020,44
5,2017 Syrah,Red,Syrah,13.9,2017,44
5,2019 Tempranillo,Red,Tempranillo,10.8,2019,44
6,2022 Spring Rose,Rose,Sangiovese,12.3,2022,22
6,2022 Summer Rose,Rose,Pinot Gris,12.9,2022,22
6,2023 Abstact No.1 Cabernet Franc Rose,Rose,Cabernet Franc,12.8,2023,23
6,2023 Autumn Rose,Rose,Syrah,12.7,2023,23
6,2023 Spring Rose,Rose,Sangiovese,12.3,2023,23
6,2023 Summer Rose,Rose,Pinot Gris,12.9,2023,23
7,2014 Evergreen Vineyard Riesling:,White,Riesling,12.7,2014,18
7,2013 Yakima Valley Grenache:,Red,Red,14.3,2013,25
7,2012 Mill Creek Vineyard Syrah:,Red,Syrah,14.2,2012,32
7,2014 Red Blend:,Red,Bordeaux-style Red Blend,14.7,2014,25
7,2012 Seven Hills Vineyard Merlot:,Red,Merlot,14.7,2012,28
7,2012 Summit View Malbec:,Red,Malbec,14.7,2012,32
7,2012 Sagemoor Vineyards Cabernet Sauvignon:,Red,Carbernet Sauvignon,14.8,2012,34
7,2012 Sagemoor Reserve:,Red,Bordeaux-style Red Blend,14.4,2012,40
8,Riesling,White,Riesling,12.5,2021,18
8,Gewurztraminer Columbia Gorge,White,Gewurztraminer,14.1,2019,16
8,Gewurztraminer Celilo Vineyard,White,Gewurztraminer,14.2,2018,30
8,Georgia Rose,Rose,Pinot Noir,13.4,2022,17
8,Pinot Noir,Red,Pinot Noir,14.1,2019,37
8,Two Magpipes Red Blend,Red,Mourvèdre,14.7,NULL,16.5
8,Mourvèdre,Red,Mourvèdre,14.6,2013,34
9,2019 Lovely Little Thing,White,Chardonnay,NULL,2019,68
9,2019 Tempranillo,Red,Tempranillo,NULL,2019,50
9,2020 Tempranillo,Red,Tempranillo,NULL,2020,50
9,2021 Bijoux,White,Sémillon-Sauvignon Blanc Blend,NULL,2021,30
9,2022 Albarino,White,Albarino,NULL,2022,30
9,2022 Ruby Ruth Rose #14,Red,Cabernet Sauvignon,NULL,2022,25
10,2022 Rose of Primitivo,Rose,Primitivo,11.4,2022,28
10,2022 Semillin,White,Semillon,11.4,2022,28
10,2023 Carbnic Zinfandel,Red,Zinfandel,10.5,2023,30
10,2021 Pinot Noir,Red,Pinor Noir,12.4,2021,48
10,2020 Syrah,Red,Syrah,12.7,2020,48
11,2022 Chardibbat,White,Chardonnay,13,2022,20
11,2020 Cabernet Sauvignon,White,Carbernet Sauvignon,14.5,2020,36
11,2020 Babernet Franc,Red,Cabernet Franc,14.5,2020,30
11,2020 Merlot,Red,Merlot,14.4,2020,30
11,2021 Firehouse Red,Red,Red Wine Blend,13.8,2021,20
11,2019 Viognier,White,Viognier,13.4,2019,27
11,2019 Grenache,Red,Grenache,14.1,2019,32
11,2019 Mourvedre Reserve,Red,Mourvedre,14,2019,42
11,2019 Petit Verdot,Red,Petit Verdot,14.5,2019,33
11,2019 Sangiovese,Red,Sangiovese,14.2,2019,32
11,2018 Reserve Red Wine,Red,Red Wine Blend,14.6,2018,52
11,2018 Red Wine,Red,Red Wine Blend,14.4,2018,52
11,2016 Nebbiolo,Red,Nebbiolo,14,2016,46
11,2014 Red Wine,Red,Red Wine Blend,14.5,2014,50
11,2014 Red Wine,Red,Red Wine Blend,14.4,2014,50
12,2020 Syrah,Red,Syrah,NULL,2020,55
12,2010 Saros,Red,Tempranillo,NULL,2010,60
12,2010 Red Wine,Red,Syrah,NULL,2010,27
12,2010 Cabernet Sauvignon,Red,Cabernet Sauvignon,NULL,2010,50
12,2009 Saros,Red,Tempranillo,NULL,2009,50
13,Eternal Beauty 2021,Rose,Malbec,12,2021,19
13,Eternal Beauty 2023,Rose,Cabernet Franc,12.3,2022,29
13,Eternal Darkness 2018,Red,Syrah,15,2018,59
13,Eternal Darkness Erched 1.5L,Red,Syrah,15,2017,295
13,Eternal Darkness Erched 3L,Red,Syrah,15,2017,495
13,Eternal Discovery,Red,Cabernet Sauvignon,15,2018,59
13,Eternal Divinity,Red,Cabernet Sauvignon,15,2018,39
13,Eternal Evolution,White,Albariño,12.5,2020,39
13,Eternal Foundation,Red,Syrah,15,2018,59
13,Eternal Gratitude,Red,Merlot,14.5,2019,54
13,Eternal Insight,White,Marsanne,13.5,2020,39
13,Eternal Lust 2022,White,Albariño,12,2022,34
13,Eternal Lust 2021,White,Albariño,12.4,2021,34
13,Eternal Patience,White,Roussanne,14.5,2019,39
13,Eternal Privilege,Red,Cabernet,13.5,2019,39
13,Eternal Quest,Red,Syrah,15,2018,59
13,Eternal Summer 2022,Rose,Viognier,14.1,2022,34
13,Eternal Sunshine 2019,White,Viognier,14,2019,39
13,Eternal Sunshine 2022,White,Viognier,13.2,2022,39
13,Eternal Echo,Red,Syrah,15,2016,59
13,Eternal Heritage,Red,Syrah,15,2016,59
13,Eternal Optimism,Red,Grenach,14.5,2017,49
13,Eternal Bliss,Red,Syrah,21,2020,54
13,Eternal Zen,Red,Syrah,15,2017,59
14,2023 Lonesome Spring,Rose,Grenache,12.5,2023,25
14,2023 Les Collines Vineyard Grenache Blanc,White,Grenache Blanc,NULL,2023,30
14,2023 Gamache Vineyard Viognier,White,Viognier,12.9,2023,30
14,Aprica,Red,Syrah,13.6,2022,28
14,2021 GSM,Red,Rhone-style Red Blend,14,2023,50
14,2021 Les Collines Vineyard,Red,Syrah,14,2021,50
14,2021 Resurgent Vineyard,Red,Syrah,13.8,2023,50
14,2021 Alder Ridge,Red,Mourvedre,13.8,2021,50
14,2020 Seven Hills,Red,Cabernet Sauvignon,15,2020,65
14,2018 Quintessence Vineyard,Red,Cabernet Sauvignon,NULL,2018,85
14,2020 Meravina,Red,Bordeaux-style Red Blend,14.6,2019,30
14,2020 Walla Walla Valley Merlot,Red,Merlot,14.4,2020,55
14,2020 Walla Walla Valley Cabernet Franc,Red,Cabernet Sauvignon,14.8,2023,65
14,2020 BDX,Red,Red Wine Blend,NULL,2020,65
15,2018 Ysabella Bjord,White ,Chardonnay,14.5,2018,70
15,2018 Camylla Lorden ,White,Chardonnay,14.5,2018,70
15,2018 Gemma Camaryn ,White,Chardonnay,14.5,2018,70
15,2017 Ysabella Bjord,White ,Chardonnay,14.5,2017,60
15,2017 Camylla Lorden ,White,Chardonnay,14.5,2017,60
15,2017 Gemma Camaryn ,White,Chardonnay,14.5,2017,60
16,Echolands Grenache Rose,Rose,Grenache,13.1,2022,26
16,Echolands Syrah,Red,Syrah,13,2019,38
16,Echolands Rubrum,Red,Cabernet Franc,13.9,2020,42
16,Seven Hills Vineyard,Red,Cabernet Sauvignon,14,2019,52
17,2010 Bend Sinister Port-Style Wine,Red,Merlot/Syrah,NULL,2010,65
17,2022 Estate Rose,Rose,Estate Saignee,NULL,2022,30
17,NV4 Sublime,Red,Red wine Blend,NULL,2016,40
17,2016 Estate Cabernet Sauvignon,Red,Cabernet Sauvignon,NULL,2016,45
17,2015 Estate Syrah,Red,Syrah,NULL,2015,55
18,2022 TMP Scamp,White,Pinot Gris,13.4,2022,20
18,2023 TMP Hedonista,White,Albarino,13.2,2023,20
18,2021 TMP Pun Intended,Red,Malbec,14.4,2021,22
